record_id,Income
806,5
63025,7
5820,7
47297,3
1276,5
49615,5
58294,3
38703,7
18296,7
32317,7
19025,7
18856,7
25998,5
20810,5
25865,5
43343,5
65088,7
60560,7
61684,5
42294,7
8366,7
12845,5
44728,5
4316,5
10815,5
62019,5
54193,7
5235,5
10677,5
19063,5
9770,7
63431,5
21055,5
63657,7
50676,3
22342,7
57107,5
60024,7
25947,5
19864,5
41326,3
39486,5
54230,3
57147,3
52421,7
52931,5
70558,3
34555,5
23513,7
66000,7
40252,5
8641,5
63137,5
60735,5
44186,7
1489,7
66328,5
69420,7
626,5
56403,5
59647,5
63521,5
32765,5
10149,5
21119,5
31538,5
10583,5
37879,5
67513,7
53298,5
29045,7
41556,5
44692,7
30113,5
45588,5
20832,5
17759,5
54149,5
18452,5
36053,7
5179,7
54808,5
16056,5
10946,7
66014,5
33519,5
10673,7
36227,7
19572,7
47654,5
69627,7
4311,5
49384,7
26194,7
33683,5
36603,3
2655,7
40376,5
14268,7
42104,7
40043,3
63915,3
53604,7
31280,5
51240,5
24360,5
45004,5
40051,5
19371,5
67162,7
10702,5
43156,3
60462,5
53330,5
51875,7
40608,7
52634,7
27664,7
58377,7
34336,5
19872,7
19150,5
3726,5
35619,5
50538,7
41860,7
56465,3
29440,5
39311,3
44261,3
15573,5
65648,5
7702,7
46428,7
24126,5
46537,7
26710,7
15649,7
45851,5
37692,7
47453,5
47605,5
12414,5
61373,5
55364,7
27619,7
44107,5
60686,5
69199,3
12520,7
4043,5
7276,7
37912,7
27974,5
10371,5
67075,3
55415,5
20260,7
49816,7
48380,5
7247,7
30706,7
64800,3
25478,5
53814,5
52520,5
67909,5
13531,7
36420,3
7402,7
46214,7
5134,7
32137,5
15843,7
43969,3
67043,5
29083,5
31756,7
39277,5
64015,3
42111,5
20094,3
10066,7
32393,5
52531,7
57254,5
55803,5
27816,5
10109,7
32941,7
33695,5
12679,7
41502,5
9069,7
64910,7
2810,7
42216,5
22554,5
4356,5
17590,5
48939,5
55441,5
12156,5
2570,5
11028,7
58729,7
3132,7
15652,5
38811,7
64283,3
1110,5
67500,5
57231,5
5077,7
12531,7
8315,5
5951,7
54733,7
8868,5
19362,5
51600,3
67707,5
2714,5
46019,7
59122,7
19885,7
49407,5
38908,5
1734,5
11144,5
79,5
1352,5
50459,5
48982,7
17420,5
26691,3
47877,3
23251,7
49397,5
15951,5
44334,7
